point,lat,lon,zone1,hemisphere,zone2,east,north,psf,grid_conv
WAYPOINT,-36.385356,144.28902,55,South,55,256832.944,5969894.45,1.00032859,-1.608977
WAYPOINT,-36.385351,144.289006,55,South,55,256831.672,5969894.97,1.0003286,-1.608985
WAYPOINT,-36.385335,144.288998,55,South,55,256830.905,5969896.725,1.0003286,-1.60899
WAYPOINT,-36.385326,144.288993,55,South,55,256830.428,5969897.711,1.00032861,-1.608992
WAYPOINT,-36.385319,144.288993,55,South,55,256830.406,5969898.488,1.00032861,-1.608992
WAYPOINT,-36.385315,144.288991,55,South,55,256830.214,5969898.927,1.00032861,-1.608993
WAYPOINT,-36.385313,144.288984,55,South,55,256829.58,5969899.131,1.00032861,-1.608997
WAYPOINT,-36.38531,144.288984,55,South,55,256829.571,5969899.464,1.00032861,-1.608997
WAYPOINT,-36.385309,144.28898,55,South,55,256829.209,5969899.565,1.00032861,-1.608999
WAYPOINT,-36.385302,144.288943,55,South,55,256825.867,5969900.248,1.00032863,-1.609021
WAYPOINT,-36.385355,144.288973,55,South,55,256828.724,5969894.443,1.00032862,-1.609005
WAYPOINT,-36.385355,144.288977,55,South,55,256829.083,5969894.453,1.00032862,-1.609003
WAYPOINT,-36.385355,144.288994,55,South,55,256830.608,5969894.496,1.00032861,-1.608993
WAYPOINT,-36.385378,144.289032,55,South,55,256834.089,5969892.04,1.00032859,-1.608971
WAYPOINT,-36.385379,144.289048,55,South,55,256835.528,5969891.969,1.00032858,-1.608962
WAYPOINT,-36.385373,144.289067,55,South,55,256837.214,5969892.683,1.00032857,-1.60895
WAYPOINT,-36.385393,144.28893,55,South,55,256824.985,5969890.118,1.00032864,-1.609032
WAYPOINT,-36.385377,144.288913,55,South,55,256823.41,5969891.851,1.00032865,-1.609042
WAYPOINT,-36.385359,144.288939,55,South,55,256825.686,5969893.913,1.00032864,-1.609026
WAYPOINT,-36.38537,144.288999,55,South,55,256831.103,5969892.844,1.0003286,-1.60899
WAYPOINT,-36.38537,144.28901,55,South,55,256832.09,5969892.872,1.0003286,-1.608984
WAYPOINT,-36.385368,144.288956,55,South,55,256827.239,5969892.958,1.00032863,-1.609016
WAYPOINT,-36.385373,144.288938,55,South,55,256825.64,5969892.357,1.00032864,-1.609027
WAYPOINT,-36.385398,144.288918,55,South,55,256823.924,5969889.533,1.00032865,-1.60904
WAYPOINT,-36.385408,144.288908,55,South,55,256823.058,5969888.398,1.00032865,-1.609046
WAYPOINT,-36.385403,144.288899,55,South,55,256822.235,5969888.93,1.00032866,-1.609051
WAYPOINT,-36.385406,144.288891,55,South,55,256821.526,5969888.577,1.00032866,-1.609056
WAYPOINT,-36.38541,144.288877,55,South,55,256820.283,5969888.098,1.00032867,-1.609064
WAYPOINT,-36.385413,144.28887,55,South,55,256819.664,5969887.748,1.00032867,-1.609069
WAYPOINT,-36.3854,144.288872,55,South,55,256819.803,5969889.195,1.00032867,-1.609067
WAYPOINT,-36.385413,144.288747,55,South,55,256808.629,5969887.438,1.00032874,-1.609142
WAYPOINT,-36.385361,144.288713,55,South,55,256805.416,5969893.122,1.00032876,-1.60916
WAYPOINT,-36.385334,144.28869,55,South,55,256803.269,5969896.06,1.00032877,-1.609173
WAYPOINT,-36.385363,144.288651,55,South,55,256799.86,5969892.744,1.00032879,-1.609197
WAYPOINT,-36.385363,144.288649,55,South,55,256799.681,5969892.739,1.00032879,-1.609198
WAYPOINT,-36.385371,144.288648,55,South,55,256799.616,5969891.849,1.00032879,-1.609199
WAYPOINT,-36.385378,144.288646,55,South,55,256799.458,5969891.067,1.00032879,-1.6092
WAYPOINT,-36.385372,144.288646,55,South,55,256799.44,5969891.732,1.00032879,-1.6092
WAYPOINT,-36.385369,144.288646,55,South,55,256799.43,5969892.065,1.00032879,-1.6092
WAYPOINT,-36.385358,144.288653,55,South,55,256800.024,5969893.304,1.00032879,-1.609195
WAYPOINT,-36.385354,144.288648,55,South,55,256799.563,5969893.735,1.00032879,-1.609198
WAYPOINT,-36.385337,144.288631,55,South,55,256797.985,5969895.578,1.0003288,-1.609208
WAYPOINT,-36.385333,144.288626,55,South,55,256797.524,5969896.009,1.0003288,-1.609211
WAYPOINT,-36.385326,144.288616,55,South,55,256796.605,5969896.761,1.00032881,-1.609216
WAYPOINT,-36.385331,144.288603,55,South,55,256795.454,5969896.173,1.00032882,-1.609224
WAYPOINT,-36.385333,144.288594,55,South,55,256794.653,5969895.929,1.00032882,-1.60923
WAYPOINT,-36.385328,144.288582,55,South,55,256793.56,5969896.453,1.00032883,-1.609236
WAYPOINT,-36.385317,144.288577,55,South,55,256793.078,5969897.661,1.00032883,-1.609239
WAYPOINT,-36.385306,144.288589,55,South,55,256794.12,5969898.912,1.00032883,-1.609231
WAYPOINT,-36.385301,144.288596,55,South,55,256794.732,5969899.485,1.00032882,-1.609227
WAYPOINT,-36.385303,144.288609,55,South,55,256795.905,5969899.295,1.00032881,-1.609219
WAYPOINT,-36.385301,144.288626,55,South,55,256797.424,5969899.56,1.00032881,-1.609209
WAYPOINT,-36.385303,144.28864,55,South,55,256798.686,5969899.373,1.0003288,-1.609201
WAYPOINT,-36.385308,144.288641,55,South,55,256798.791,5969898.821,1.0003288,-1.609201
WAYPOINT,-36.385307,144.288643,55,South,55,256798.968,5969898.937,1.0003288,-1.609199
WAYPOINT,-36.385313,144.288605,55,South,55,256795.577,5969898.176,1.00032882,-1.609222
WAYPOINT,-36.385324,144.288587,55,South,55,256793.997,5969896.91,1.00032883,-1.609233
WAYPOINT,-36.385349,144.28856,55,South,55,256791.652,5969894.068,1.00032884,-1.60925
WAYPOINT,-36.385361,144.288553,55,South,55,256791.062,5969892.719,1.00032884,-1.609255
WAYPOINT,-36.385372,144.288545,55,South,55,256790.378,5969891.478,1.00032885,-1.60926
WAYPOINT,-36.385372,144.288541,55,South,55,256790.019,5969891.468,1.00032885,-1.609263
WAYPOINT,-36.385373,144.288532,55,South,55,256789.215,5969891.334,1.00032885,-1.609268
WAYPOINT,-36.385369,144.288526,55,South,55,256788.664,5969891.763,1.00032886,-1.609271
WAYPOINT,-36.38535,144.2887,55,South,55,256804.216,5969894.31,1.00032876,-1.609167
WAYPOINT,-36.385345,144.288691,55,South,55,256803.393,5969894.842,1.00032877,-1.609172
